Sequencing round,Envelope ID,Contents,Morphospecies,Notes from envelope,Sequence_Label,Read quality,First identified BLAST hit,Genbank accession for first identified match,Query coverage,Percent identity,Next named result (if uncultured),Genbank accession no.,Actual identity,Matched prediction?,At level,Notes,
2,6012B,mycos,Suillus pungens,,6012B_S_m,poor,,,,,,,Fail,NA,Sequencing failure,,
2,6015A,mycos%,Suillus pungens,,6015A_S_m,poor,,,,,,,Fail,NA,Sequencing failure and/or mixed culture input,,
2,6015B,mycos %,Thelephora terrestris,,6015B_T_m,excellent,Thelephora terrestris,LT174723.1,100,99.68,,,Thelephora terrestris,Y,Species,,
2,6020B,mycos,Suillus pungens,,6020B_S_m,good,Entrophospora sp. ,AY035666.1,100,100,,,don't know,NA,EM didn't amplify,,
2,6022A,mycos %,Thelephora terrestris,,6022A_T_m,excellent,Thelephora terrestris,KP814380.1,100,100,,,Thelephora terrestris,Y,Species,,
1,6026A,mycos,Thelephora terrestris,,TT_6026A_m,Bad,,,,,,,Fail,NA,Sequencing failure,,
1,6026B,mycos,Thelephora terrestris,,TT_6026B_m,Good,Thelephora sp. ,MK027209.1,100,98.68,,,Thelephora sp.,Y,Genus,,
1,6027A,mycos,Thelephora terrestris,,TT_6027A_m,Good,Thelephora sp.,MK027209.1,100,98.84,,,Thelephora sp.,Y,Genus,,
1,6027A,hyphae,Thelephora terrestris,,TT_6027A_h,Good,Thelephora terrestris,KP814380.1,100,99.66,,,Thelephora terrestris,Y,Species,,
2,6028A,mycos,Suillus pungens,,6028A_S_m,excellent,Thelephora terrestris,MT644883.1,100,100,,,Thelephora terrestris,N,Confused Tt for Sp,,Mixed compartment
2,6033A,mycos for % col,Suillus pungens,1:10 diluted,6033A_S_m_d,ok not good (het indel?),Suillus pungens,KX213754.1,41,95.65,,,Suillus pungens,Y,Species,,
2,6033B ,hyphae,Suillus pungens,,6033B_S_h,ok,Uncultured Suillus type,DQ822827.1,98,94.28,Suillus pungens,KX342863.1,Suillus pungens,Y,Species,,
2,6034A,mycos %,Thelephora terrestris,,6034A_T_m,good,Thelephora terrestris,LT174723.1,100,99.68,,,Thelephora terrestris,Y,Species,,
2,6034B,extra SUIPU type mycos or THETE?,Suillus pungens,"""Although it's hard to tell -- both odl SUIPU and normal THETE is a sort of cafe au lauit color -- I think we hvae some SUIPU (mostly old) and THETE growing out of it.""",6034B_M_m,very good,Uncultured Suillus clone,JX898969.1,100,99.54,Suillus kaibabensis,KX213776.1,Suillus sp.,Y,Genus,,"Hynson study again, Suillus on Pinus."
2,6035A,extra mycos,Thelephora terrestris,,6035A_T_m,excellent,Thelephora terrestris,KP814380.1,100,100,,,Thelephora terrestris,Y,Species,,
2,6040A,mycos %,Thelephora terrestris,,6040A_T_m,excellent,Thelephora terrestris,LT174723.1,100,100,,,Thelephora terrestris,Y,Species,,
2,6041A,mycos%,Suillus pungens,,6041A_S_m,poor,,,,,,,Fail,NA,Sequencing failure and/or mixed culture input,,
2,6043A,mycos,Suillus pungens,1:10 diluted,6043A_S_m_d,poor,,,,,,,Fail,NA,Sequencing failure,,
2,6043A,hyphae,Suillus pungens,,6043A_S_h,excellent,Uncultured Suillus clone,JX898969.1,100,99.54,Suillus kaibabensis,KX213776.1,Suillus sp.,Y,Genus,,"Hynson study again, Suillus on Pinus."
2,6043B,mycos,Suillus pungens,,6043B_S_m,excellent,Thelephora terrestris,LT174723.1,100,100,,,Thelephora terrestris,N,Confused Tt for Sp,,"Should have been Sp-only compartment, just messed this one up I suppose. High N Sp/Sp plant; should remove from analyses."
2,6049A,mycos %,Thelephora terrestris,,6049A_T_m,ok,Thelephora terrestris,MT644883.1,100,98.7,,,Thelephora terrestris,Y,Species,,
2,6050A,extra mycos,Suillus pungens,"1:10 diluted. ""I guess the hyphae oxidize to brown.""",6050A_S_m_d,poor,,,,,,,Fail,NA,Sequencing failure,,
2,6051B,crust,Thelephora terrestris,,6051B_T_cr,good,Thelephora terrestris,MT644883.1,100,100,,,Thelephora terrestris,Y,Species,,
1,6052B,mycos,Suillus pungens,,SP_6052B_m,Ok,Thelephora terrestris,MT644883.1,100,99.67,,,Thelephora terrestris,N,Confused Tt for Sp,Mixed compartment,
1,6052B,mycos,Thelephora terrestris,,TT_6052B_m,Ok,Hebeloma limbatum,KT217542.1,100,96.91,,,Hebeloma limbata,N,Species,Mixed compartment; rogue Hebeloma apparently got in there somehow.,
2,6052B,SUIPU mycos %,Suillus pungens,1:10 diluted. same as SP_6052B_m in round 1 PCR (extraction 2),6052B_S_m_d_2,ok not good,Uncultured Suillus clone,JX898969.1,100,95.71,Suillus kaibabensis,KX230598.1,Suillus sp.,Y,Genus,"This one came up as Suillus twice, Thelephora once.","Hynson study again, Suillus on Pinus."
2,6052B,SUIPU mycos % (extraction tube 11),Suillus pungens,,6052B_S_m_1,ok,Uncultured Suillus type,FJ197213.1,99,95.47,Suillus kaibabensis,KX230598.1,Suillus pungens,Y,Genus,"This one came up as Suillus twice (diluted and undiluted versions of same extraction), and as Thelephora once","Mixed compartment; Best result here is from Peay et al. (2009), they called it S. pungens in their paper."
2,6052B,mycos,Suillus pungens,,6052B_S_m_3,excellent,Uncultured Thelephora clone,KC702631.1,100,100,Thelephora terrestris,LT174723.1,Thelephora terrestris,N,Confused Tt for Sp,"This one came up as Suillus twice (diluted and undiluted versions of same extraction), and as Thelephora once",Mixed compartment
2,6053B,live mycos %,Suillus pungens,,6053B_S_m,good,Uncultured Suillus clone,JX898969.1,99,98.3,Suillus kaibabensis,KX213776.1,Suillus sp.,Y,Genus,"Best match is Hynson et al Pinus on Hawaii study, no species level ID provided.",
2,6055B,mycos %,Thelephora terrestris,,6055B_T_m,ok,Uncultured Thelephora clone,KC702631.1,100,98.51,Thelephora terrestris,JQ711981.1,Thelephora terrestris,Y,Species,,
2,6057B,mycos,Thelephora terrestris,,6057B_T_m,excellent,Fusarium equiseti,MT560375.1,100,100,,,Pathogen,NA,EM didn't amplify,,
2,6064A,mycos,Suillus pungens,,6064A_S_m,ok,Uncultured Suillus clone,JX898969.1,100,92.04,Suillus kaibabensis,KX230598.1,Suillus sp.,Y,Genus,,"Hynson study again, Suillus on Pinus."
2,6064B,mycos %,Thelephora terrestris,"""fungus doesn't look much like SUIPU or THETE""",6064B_T_m,excellent,Uncultured Thelephora clone,KC702631.1,100,99.68,Thelephora terrestris,LT174723.1,Thelephora terrestris,Y,Species,,
1,6070B,mycos,Thelephora terrestris,,TT_6070B_m,Ok,Thelephora terrestris,MF186823.1,99,96.66,,,Thelephora terrestris,Y,Species,,
2,6071B,extra mycos,Suillus pungens,,6071B_S_m,ok,Suillus pungens,KX342863.1,100,90.06,,,Suillus pungens,Y,Species,,
2,6077A,live SUIPU mycos %,Suillus pungens,,6077A_S_m,ok,Uncultured Suillus type,DQ822827.1,100,95.56,Suillus pungens,JQ310819.1,Suillus pungens,Y,Species,,
2,6077B,mycos %,Suillus pungens,,6077B_S_m,"ok(may be ""heterozygous indel"")",Suillus pungens,KX342863.1,100,87.12,,,Suillus pungens,Y,Species,,
2,6078B,mycos,Suillus pungens,,6078B_S_m,ok,Suillus pungens,KX342863.1,99,92.13,,,Suillus pungens,Y,Species,,
2,6079A,live mycos %,Suillus pungens,,6079A_S_m,good,Trichoderma harzanium,MK738147.1,100,100,,,mold,NA,EM didn't amplify,,
2,6080A,mycos %,Thelephora terrestris,"""some hyphae look almost SUIPU-ish""",6080A_T_m,good,Uncultured Thelephora clone,KC702631.1,100,99.53,Thelephora terrestris,MT644883.1,Thelephora terrestris,Y,Species,,
2,6084A,hyphae,Suillus pungens,,6084A_S_h,very good,Exophiala equina,MT453276.1,100,100,,,root endopHyte,NA,EM didn't amplify,,
2,6085A,mycos %,Thelephora terrestris,,6085A_T_m,excellent,Thelephora terrestris,LT174723.1,100,100,,,Thelephora terrestris,Y,Species,,
2,6087A,live mycos %,Thelephora terrestris,,6087A_T_m,excellent,Thelephora terrestris,LT174723.1,100,100,,,Thelephora terrestris,Y,Species,,
2,6093A,mycos %,Thelephora terrestris,"""I didn't note which fungus was here at harvest, but my tins include mycos listed for both sides A and B of this microcosm. I think both were very likely THETE.""",6093A_T_m,very good,Thelephora terrestris,MT644883.1,100,99.84,,,Thelephora terrestris,Y,Species,,
2,6094B,hyphae,Thelephora terrestris,THETE not NM,6094B_T_h,very good,Uncultured Thelephora clone,KC702631.1,100,100,Thelephora terrestris,JQ711981.1,Thelephora terrestris,Y,Species,,
2,6094B,mycos %,Thelephora terrestris,THETE not NM,6094B_T_m,very good,Thelephora terrestris,LT174723.1,100,99.84,,,Thelephora terrestris,Y,Species,,
2,6097A,mycos %,Thelephora terrestris,,6097A_T_m,excellent,Thelephora terrestris,LT174723.1,100,100,,,Thelephora terrestris,Y,Species,,
2,6100A,hyphae & rhizomorphs,Thelephora terrestris,,6100A_T_hr,excellent,Thelephora terrestris,LT174723.1,100,100,,,Thelephora terrestris,Y,Species,,
1,6103A,mycos,Suillus pungens,,SP_6013A_m,Poor,Trichoderma effusum,MN644528.1,100,99.73,,,Mold/endophyte,NA,EM didn't amplify,,
2,6103B,rhizomorphs,Thelephora terrestris,,6103B_T_r,very good,Plectosphaerella cucumeria,MH800332.1,100,100,,,mold?,NA,EM didn't amplify,,
1,6107A,rhizomorphs,Thelephora terrestris,,TT_6107A_r,Bad,,,,,,,Fail,NA,Sequencing failure,,
1,6107A,mycos,Thelephora terrestris,,TT_6107A_m,Ok,Uncultured Suillus type,FJ197213.1,100,99.38,Suillus pungens,JN858071.1,Suillus pungens,N,Confused Sp for Tt,"""No N"" test plant; THETE was fruiting in this compartment at harvest; first Genbank result ID'd as pungens by Peay et al. (2009); should have been TT based on spore inoculation.",
1,6107B,mycos,Suillus pungens,,SP_6107B_m,Good,Trichoderma cf. harzianum,MF108894.1,100,100,,,Mold/endophyte,NA,EM didn't amplify,,
